kind	symbol	type	status
REQUIRED	vapp_main	T	PRESENT
REQUIRED	ai_agent_main	T	PRESENT
REQUIRED	tool_mooncat_coach_execute	T	PRESENT
REQUIRED	openvela_ui_main	T	PRESENT
BANNED	luncher_mini_main	-	ABSENT
LTO_AWARE	Skill_context_guard_and_NL_dispatch	handle_nl_fast_path.lto_priv.0	PRESENT
LTO_AWARE	chunked_wire_length_and_tls_reader	chunked_wire_length.lto_priv.0	PRESENT
LTO_AWARE	quickapp_mq_listener_task	quickapp_mq_listener_task.lto_priv.0	PRESENT
LTO_DEFINITION	mooncat_local_router_handle	input_object_T_and_final_DWARF_line_348	PRESENT
LTO_DEFINITION	mooncat_intent_model_predict	input_object_T_and_final_DWARF_line_102	PRESENT
LTO_DEFINITION	quickapp_mq_listener_task	final_LTO_symbol_and_DWARF_line_225	PRESENT
